"COUNTRY","Country","BIRTH","Place of birth","HATLEV1D","Educational attainment","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"DNK","Denmark","FB","Foreign-born","M","Medium","2020","2020","PC","Percentage","0","Units",,,72.2,,
"DNK","Denmark","FB","Foreign-born","M","Medium","2021","2021","PC","Percentage","0","Units",,,79.7,,
"DNK","Denmark","FB","Foreign-born","M","Medium","2022","2022","PC","Percentage","0","Units",,,84.2,,
"DNK","Denmark","FB","Foreign-born","H","High","2015","2015","PC","Percentage","0","Units",,,75.4,,
"DNK","Denmark","FB","Foreign-born","H","High","2016","2016","PC","Percentage","0","Units",,,77.2,,
"DNK","Denmark","FB","Foreign-born","H","High","2017","2017","PC","Percentage","0","Units",,,75.7,,
"DNK","Denmark","FB","Foreign-born","H","High","2018","2018","PC","Percentage","0","Units",,,76.9,,
"DNK","Denmark","FB","Foreign-born","H","High","2019","2019","PC","Percentage","0","Units",,,80.1,,
"DNK","Denmark","FB","Foreign-born","H","High","2020","2020","PC","Percentage","0","Units",,,79.6,,
"DNK","Denmark","FB","Foreign-born","H","High","2021","2021","PC","Percentage","0","Units",,,89.3,,
"DNK","Denmark","FB","Foreign-born","H","High","2022","2022","PC","Percentage","0","Units",,,94.5,,
"FIN","Finland","FB","Foreign-born","T","Total","2015","2015","PC","Percentage","0","Units",,,62.5,,
"FIN","Finland","FB","Foreign-born","T","Total","2016","2016","PC","Percentage","0","Units",,,63.6,,
"FIN","Finland","FB","Foreign-born","T","Total","2017","2017","PC","Percentage","0","Units",,,67.7,,
"FIN","Finland","FB","Foreign-born","T","Total","2018","2018","PC","Percentage","0","Units",,,66.4,,
"FIN","Finland","FB","Foreign-born","T","Total","2019","2019","PC","Percentage","0","Units",,,69.6,,
"FIN","Finland","FB","Foreign-born","T","Total","2020","2020","PC","Percentage","0","Units",,,63.7,,
"FIN","Finland","FB","Foreign-born","T","Total","2021","2021","PC","Percentage","0","Units",,,66.2,,
"FIN","Finland","FB","Foreign-born","T","Total","2022","2022","PC","Percentage","0","Units",,,70.4,,
"FIN","Finland","FB","Foreign-born","L","Low","2015","2015","PC","Percentage","0","Units",,,53.6,,
"FIN","Finland","FB","Foreign-born","L","Low","2016","2016","PC","Percentage","0","Units",,,55.2,,
"FIN","Finland","FB","Foreign-born","L","Low","2017","2017","PC","Percentage","0","Units",,,60.4,,
"FIN","Finland","FB","Foreign-born","L","Low","2018","2018","PC","Percentage","0","Units",,,53.6,,
"FIN","Finland","FB","Foreign-born","L","Low","2019","2019","PC","Percentage","0","Units",,,51.8,,
"FIN","Finland","FB","Foreign-born","L","Low","2020","2020","PC","Percentage","0","Units",,,53.8,,
"FIN","Finland","FB","Foreign-born","L","Low","2021","2021","PC","Percentage","0","Units",,,46.5,,
"FIN","Finland","FB","Foreign-born","L","Low","2022","2022","PC","Percentage","0","Units",,,49.7,,
"FIN","Finland","FB","Foreign-born","M","Medium","2015","2015","PC","Percentage","0","Units",,,68.5,,
"FIN","Finland","FB","Foreign-born","M","Medium","2016","2016","PC","Percentage","0","Units",,,62.2,,
"FIN","Finland","FB","Foreign-born","M","Medium","2017","2017","PC","Percentage","0","Units",,,69,,
"FIN","Finland","FB","Foreign-born","M","Medium","2018","2018","PC","Percentage","0","Units",,,66,,
"FIN","Finland","FB","Foreign-born","M","Medium","2019","2019","PC","Percentage","0","Units",,,73,,
"FIN","Finland","FB","Foreign-born","M","Medium","2020","2020","PC","Percentage","0","Units",,,69.2,,
"FIN","Finland","FB","Foreign-born","M","Medium","2021","2021","PC","Percentage","0","Units",,,69.4,,
"FIN","Finland","FB","Foreign-born","M","Medium","2022","2022","PC","Percentage","0","Units",,,75.6,,
"FIN","Finland","FB","Foreign-born","H","High","2015","2015","PC","Percentage","0","Units",,,65.6,,
"FIN","Finland","FB","Foreign-born","H","High","2016","2016","PC","Percentage","0","Units",,,70.8,,
"FIN","Finland","FB","Foreign-born","H","High","2017","2017","PC","Percentage","0","Units",,,71.1,,
"FIN","Finland","FB","Foreign-born","H","High","2018","2018","PC","Percentage","0","Units",,,78.2,,
"FIN","Finland","FB","Foreign-born","H","High","2019","2019","PC","Percentage","0","Units",,,76.1,,
"FIN","Finland","FB","Foreign-born","H","High","2020","2020","PC","Percentage","0","Units",,,76.8,,
"FIN","Finland","FB","Foreign-born","H","High","2021","2021","PC","Percentage","0","Units",,,81.4,,
"FIN","Finland","FB","Foreign-born","H","High","2022","2022","PC","Percentage","0","Units",,,82.1,,
"FRA","France","FB","Foreign-born","T","Total","2015","2015","PC","Percentage","0","Units",,,58.9,,
"FRA","France","FB","Foreign-born","T","Total","2016","2016","PC","Percentage","0","Units",,,59.6,,
"FRA","France","FB","Foreign-born","T","Total","2017","2017","PC","Percentage","0","Units",,,61.5,,
"FRA","France","FB","Foreign-born","T","Total","2018","2018","PC","Percentage","0","Units",,,62.5,,
"FRA","France","FB","Foreign-born","T","Total","2019","2019","PC","Percentage","0","Units",,,61.9,,
"FRA","France","FB","Foreign-born","T","Total","2020","2020","PC","Percentage","0","Units",,,59.8,,
"FRA","France","FB","Foreign-born","T","Total","2021","2021","PC","Percentage","0","Units",,,61.1,,
"FRA","France","FB","Foreign-born","T","Total","2022","2022","PC","Percentage","0","Units",,,61.6,,
"FRA","France","FB","Foreign-born","L","Low","2015","2015","PC","Percentage","0","Units",,,47.6,,
"FRA","France","FB","Foreign-born","L","Low","2016","2016","PC","Percentage","0","Units",,,47.9,,
"FRA","France","FB","Foreign-born","L","Low","2017","2017","PC","Percentage","0","Units",,,51.7,,
"FRA","France","FB","Foreign-born","L","Low","2018","2018","PC","Percentage","0","Units",,,51.9,,
"FRA","France","FB","Foreign-born","L","Low","2019","2019","PC","Percentage","0","Units",,,52.1,,
"FRA","France","FB","Foreign-born","L","Low","2020","2020","PC","Percentage","0","Units",,,51.4,,
"FRA","France","FB","Foreign-born","L","Low","2021","2021","PC","Percentage","0","Units",,,48.4,,
"FRA","France","FB","Foreign-born","L","Low","2022","2022","PC","Percentage","0","Units",,,49.7,,
